Week,Series,Value,Lower,Upper,IsFuture
2023-04-02,Prophet (In-sample),1054389.7405587449,,,0
2023-04-09,Prophet (In-sample),1069784.2321877878,,,0
2023-04-16,Prophet (In-sample),1099818.9188456472,,,0
2023-04-23,Prophet (In-sample),1120545.1762012993,,,0
2023-04-30,Prophet (In-sample),1113614.2464513732,,,0
2023-05-07,Prophet (In-sample),1085734.3025022156,,,0
2023-05-14,Prophet (In-sample),1063068.9901247118,,,0
2023-05-21,Prophet (In-sample),1064477.4941706047,,,0
2023-05-28,Prophet (In-sample),1082607.8479938484,,,0
2023-06-04,Prophet (In-sample),1094575.724420456,,,0
2023-06-11,Prophet (In-sample),1089395.1631584528,,,0
2023-06-18,Prophet (In-sample),1079474.0789351142,,,0
2023-06-25,Prophet (In-sample),1082863.145190116,,,0
2023-07-02,Prophet (In-sample),1098918.9580833865,,,0
2023-07-09,Prophet (In-sample),1108344.123074754,,,0
2023-07-16,Prophet (In-sample),1098094.186241303,,,0
2023-07-23,Prophet (In-sample),1079806.1452391208,,,0
2023-07-30,Prophet (In-sample),1077326.2720210745,,,0
2023-08-06,Prophet (In-sample),1097157.3765968888,,,0
2023-08-13,Prophet (In-sample),1118124.5467610618,,,0
2023-08-20,Prophet (In-sample),1114510.1847619987,,,0
2023-08-27,Prophet (In-sample),1086325.8335444178,,,0
2023-09-03,Prophet (In-sample),1060843.6205904968,,,0
2023-09-10,Prophet (In-sample),1063195.1350743156,,,0
2023-09-17,Prophet (In-sample),1090189.8432212193,,,0
2023-09-24,Prophet (In-sample),1116768.7791914286,,,0
2023-10-01,Prophet (In-sample),1125195.0881379559,,,0
2023-10-08,Prophet (In-sample),1121341.9485223,,,0
2023-10-15,Prophet (In-sample),1120617.879737779,,,0
2023-10-22,Prophet (In-sample),1124193.113679622,,,0
2023-10-29,Prophet (In-sample),1116842.587513416,,,0
2023-11-05,Prophet (In-sample),1088900.8066915267,,,0
2023-11-12,Prophet (In-sample),1053632.5983315995,,,0
2023-11-19,Prophet (In-sample),1036742.0730447518,,,0
2023-11-26,Prophet (In-sample),1049415.939760507,,,0
2023-12-03,Prophet (In-sample),1076811.704088435,,,0
2023-12-10,Prophet (In-sample),1095288.968018613,,,0
2023-12-17,Prophet (In-sample),1097502.1858779965,,,0
2023-12-24,Prophet (In-sample),1096401.7834645878,,,0
2023-12-31,Prophet (In-sample),1105626.2150436388,,,0
2024-01-07,Prophet (In-sample),1121326.0640577585,,,0
2024-01-14,Prophet (In-sample),1126570.8509568176,,,0
2024-01-21,Prophet (In-sample),1111373.0915750968,,,0
2024-01-28,Prophet (In-sample),1084216.099272932,,,0
2024-02-04,Prophet (In-sample),1063413.888100989,,,0
2024-02-11,Prophet (In-sample),1060318.6659993748,,,0
2024-02-18,Prophet (In-sample),1072416.2477609343,,,0
2024-02-25,Prophet (In-sample),1089351.0256945658,,,0
2024-03-03,Prophet (In-sample),1101151.7158533258,,,0
2024-03-10,Prophet (In-sample),1101320.3299882389,,,0
2024-03-17,Prophet (In-sample),1088274.8515922176,,,0
2024-03-24,Prophet (In-sample),1068884.2064740467,,,0
2024-03-31,Prophet (In-sample),1058384.3957447347,,,0
2024-04-07,Prophet (In-sample),1069664.4840648877,,,0
2024-04-14,Prophet (In-sample),1098561.0058525242,,,0
2024-04-21,Prophet (In-sample),1122775.8937472294,,,0
2024-04-28,Prophet (In-sample),1121089.3029526947,,,0
2024-05-05,Prophet (In-sample),1095270.8490110398,,,0
2024-05-12,Prophet (In-sample),1069690.4631169073,,,0
2024-05-19,Prophet (In-sample),1066542.0301654811,,,0
2024-05-26,Prophet (In-sample),1083264.547200195,,,0
2024-06-02,Prophet (In-sample),1097802.7986750165,,,0
2024-06-09,Prophet (In-sample),1095358.0779095087,,,0
2024-06-16,Prophet (In-sample),1084739.681993704,,,0
2024-06-23,Prophet (In-sample),1085067.389129357,,,0
2024-06-30,Prophet (In-sample),1099984.717018693,,,0
2024-07-07,Prophet (In-sample),1112111.5109921114,,,0
2024-07-14,Prophet (In-sample),1105260.0256455797,,,0
2024-07-21,Prophet (In-sample),1086624.6698244528,,,0
2024-07-28,Prophet (In-sample),1080009.4456771626,,,0
2024-08-04,Prophet (In-sample),1096751.3302798662,,,0
2024-08-11,Prophet (In-sample),1119741.9598633272,,,0
2024-08-18,Prophet (In-sample),1121506.110292181,,,0
2024-08-25,Prophet (In-sample),1096221.1912235117,,,0
2024-09-01,Prophet (In-sample),1067874.277120056,,,0
2024-09-08,Prophet (In-sample),1064542.9163563051,,,0
2024-09-15,Prophet (In-sample),1088686.1080140844,,,0
2024-09-22,Prophet (In-sample),1117232.4319546341,,,0
2024-09-29,Prophet (In-sample),1129124.7686094807,,,0
2024-10-06,Prophet (In-sample),1126253.5121436627,,,0
2024-10-13,Prophet (In-sample),1124264.7461513863,,,0
2024-10-20,Prophet (In-sample),1127920.6339981686,,,0
2024-10-27,Prophet (In-sample),1123739.7249695119,,,0
2024-11-03,Prophet (In-sample),1099200.7368008783,,,0
2024-11-10,Prophet (In-sample),1063371.2944642352,,,0
2024-11-17,Prophet (In-sample),1041641.0549196507,,,0
2024-11-24,Prophet (In-sample),1049455.915829271,,,0
2024-12-01,Prophet (In-sample),1076080.108070687,,,0
2024-12-08,Prophet (In-sample),1097383.4155719657,,,0
2024-12-15,Prophet (In-sample),1101966.377920612,,,0
2024-12-22,Prophet (In-sample),1100146.7794026262,,,0
2024-12-29,Prophet (In-sample),1107215.2596448741,,,0
2025-01-05,Prophet (In-sample),1122858.2539479192,,,0
2025-01-12,Prophet (In-sample),1131164.6041787486,,,0
2025-01-19,Prophet (In-sample),1119521.6195174162,,,0
2025-01-26,Prophet (In-sample),1093209.2659926806,,,0
2025-02-02,Prophet (In-sample),1070058.7097607446,,,0
2025-02-09,Prophet (In-sample),1063612.5344202584,,,0
2025-02-16,Prophet (In-sample),1073659.987793356,,,0
2025-02-23,Prophet (In-sample),1090544.5230753524,,,0
2025-03-02,Prophet (In-sample),1103847.8036609339,,,0
2025-03-09,Prophet (In-sample),1106388.8960847761,,,0
2025-03-16,Prophet (In-sample),1095490.01708885,,,0
2025-03-23,Prophet (In-sample),1076280.8590170066,,,0
2025-03-30,Prophet (In-sample),1062966.3658698697,,,0
2025-04-06,Prophet (In-sample),1070033.0743899592,,,0
2025-04-13,Prophet (In-sample),1097051.578309606,,,0
2025-04-20,Prophet (In-sample),1124039.1470007626,,,0
2025-04-27,Prophet (In-sample),1127680.8679874407,,,0
2025-05-04,Prophet (In-sample),1104803.5460577123,,,0
